Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
69019 T,Anderson .Paak,Ventura,Aftermath Entertainment,"LP, Album, Gat",,2019,13835553,Vinyl,2020-07-31 07:25:02,,,
AMF0007,Loyle Carner,Yesterday's Gone,AMF Records (3),"LP, Album",,2017,9689965,Vinyl,2020-07-31 07:35:29,,,
AMFLP0012,Loyle Carner,"Not Waving, But Drowning",AMF Records (3),"LP, Album",,2019,13518819,Vinyl,2020-07-31 07:35:48,,,
ATO0500LPX,Black Pumas,Black Pumas,ATO Records,"LP, Album, Dlx, Spl + CD, EP, RE",,2020,14748173,Vinyl,2020-07-31 07:32:40,,,
"BEC5650737, KMA073",Parcels,Live Vol.1,"Because Music, Kitsuné Musique","2xLP, Album",,2020,15222265,Vinyl,2020-07-31 07:47:36,,,
BTG004VL,Tom Misch,Beat Tape 2,Beyond The Groove,"2xLP, Album",,2016,8348582,Vinyl,2020-08-15 15:40:20,,,
BTG009VL,Tom Misch,Reverie EP,Beyond The Groove,"10"", EP",,2016,8804553,Vinyl,2020-08-29 13:37:48,,,
BTG020LP,Tom Misch,Geography,Beyond The Groove,"2xLP, Album",,2018,11754255,Vinyl,2020-07-31 07:24:06,,,
2812123115,Tom Misch & Yussef Dayes,What Kinda Music,"Blue Note, Beyond The Groove","2xLP, Album, Dlx, Ltd, Emb",,2020,15179807,Vinyl,2020-07-31 07:20:23,,,
none,Skepta,Ignorance Is Bliss,Boy Better Know,"2xLP, Album",,2019,13713464,Vinyl,2020-08-29 13:38:46,,,
"T762, 00602547972972",Miles Davis,Birth Of The Cool,"Capitol Records, Universal Music Group","LP, Comp, Mono, RE, 180",,2016,9293829,Vinyl,2020-07-31 07:39:37,,,
19075830351,Leon Bridges,Good Thing,"Columbia, Sony Music","LP, Album, 180",,2018,11947256,Vinyl,2020-07-31 07:37:03,,,
DOC200,Phoebe Bridgers,Punisher,Dead Oceans,"LP, Album",,2020,15492389,Vinyl,2020-12-19 10:33:56,,,
DOC214,Khruangbin & Leon Bridges,Texas Sun,"Dead Oceans, Night Time Stories","12"", EP",,2020,14756037,Vinyl,2020-10-07 17:51:57,,,
DOL705H,The Dave Brubeck Quartet,Time Out,DOL,"LP, Album, RE, 180",,2015,6602102,Vinyl,2020-07-31 07:40:06,,,
"DUN-1001, DAP-022",Charles Bradley Featuring The Sounds Of Menahan Street Band,No Time For Dreaming,"Dunham, Daptone Records","LP, Album, RE",,2011,5686900,Vinyl,2020-09-25 16:26:01,,,
88875134501,The Jimi Hendrix Experience,Are You Experienced,"Experience Hendrix, Legacy, Sony Music","2xLP, Album, RE, RM, 180",,2015,7577132,Vinyl,2020-10-24 19:44:52,,,
JSLAFLP01,Jorja Smith,Lost & Found,FAMM (2),"LP, Album",,2018,12105956,Vinyl,2020-08-07 19:30:31,,,
"GEEA 8, 510 346-1",Queen Latifah,Nature Of A Sista',"Gee Street, Gee Street","LP, Album",,1991,801867,Vinyl,2020-10-24 19:44:18,,,
2547762986,BANKS (7),The Altar,Harvest,"LP, Album",,2016,9119202,Vinyl,2020-07-31 07:31:15,,,
00602517762411,Amy Winehouse,Frank,Island Records,"LP, Album, RE, RM, 180",,2008,1432894,Vinyl,2020-07-31 07:46:53,,,
"JAG350, JAG 350",Bon Iver,"i,i","Jagjaguwar, Jagjaguwar","LP, Album",,2019,14041411,Vinyl,2020-07-31 07:34:11,,,
"STMS 5027, 0C 054-90 603","Grover Washington, Jr.",Mister Magic,"Motown, Motown","LP, Album, RE",,1981,3137199,Vinyl,2020-08-07 11:49:49,,,
MOVLP444,John Mayer,Where The Light Is: John Mayer Live In Los Angeles,"Music On Vinyl, Columbia, Aware Records","4xLP, Album, RE, RM, 180 + Box",,2012,3430867,Vinyl,2020-09-01 18:05:57,,,
SW234223,Anderson .Paak,Malibu,"OBE, Steel Wool Records, Membran","2xLP, Album, 180",,2016,8827787,Vinyl,2020-07-31 07:26:05,,,
"7795277, 00602577952777, 7795278, 7795279",Michael Kiwanuka,Kiwanuka,"Polydor, Polydor, Polydor, Polydor","2xLP, Album, 180",,2019,14333870,Vinyl,2020-07-31 07:41:46,,,
517786-1,Fleetwood Mac,Rumours,Reprise Records,"LP, Album, RE",,2011,2832092,Vinyl,2020-07-31 07:40:34,,,
00602508236433,The Weeknd,"My Dear Melancholy,",Republic Records,"12"", S/Sided, EP, Etch, Ltd, 180",,2020,15836740,Vinyl,2020-08-29 13:39:51,,,
774127-2,Hozier,"Wasteland, Baby!",Rubyworks,"2xLP, Album, Gre",,2019,13290226,Vinyl,2020-07-31 07:41:02,,,
88985393231,John Mayer,Battle Studies,"Sony Music, Columbia, Legacy","2xLP, Album, RE, 180",,2017,10280116,Vinyl,2020-07-31 07:44:27,,,
0602547311009,Kendrick Lamar,To Pimp A Butterfly,"Top Dawg Entertainment, Aftermath Entertainment, Interscope Records","2xLP, Album, Gat",,2015,7568442,Vinyl,2020-07-31 07:42:49,,,
0190295500924,Foals,Everything Not Saved Will Be Lost: Part 1,Warner Bros. Records,"LP, Album",,2019,13303147,Vinyl,2020-09-07 15:23:59,,,
0190295394653,Foals,Everything Not Saved Will Be Lost: Part 2,Warner Records,"LP, Album",,2019,14281797,Vinyl,2020-10-23 19:39:59,,,
WCV050,Buena Vista Social Club,Buena Vista Social Club,World Circuit,"2xLP, Album, RE, Gat",,2015,7631931,Vinyl,2020-11-20 17:52:07,,,
XL927LP,Jungle (12),For Ever,XL Recordings,"LP, Album",,2018,12523683,Vinyl,2020-11-20 17:51:42,,,
XLLP765,Kaytranada,99.9%,XL Recordings,"LP, Yel + LP, Pur + Album, Ltd, RE",,2020,15004850,Vinyl,2020-10-24 19:44:01,,,
XLLP790,Radiohead,A Moon Shaped Pool,XL Recordings,"2xLP, Album, Opt",,2016,8581636,Vinyl,2020-09-20 17:24:22,,,
