url,Artist Name,Record Title,2021-06-13 22:53:05.463695,2021-06-13 23:20:42.270374,2021-06-14 06:49:40.948812,2021-06-14 18:36:15.832608,2021-06-15 19:51:26.098834,2021-06-15 19:58:45.325832
https://www.amazon.co.uk/dp/B082PQXZ3F/?coliid=I39D03H2Z5VYWF&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Tom Misch,Beat Tape 1,18.99,18.99,20.74,20.74,20.74,20.74
https://www.amazon.co.uk/dp/B003C1AL94/?coliid=ISRHQTCDOZJRP&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,John Mayer,Continuum,24.36,24.36,24.36,24.36,24.36,24.36
https://www.amazon.co.uk/dp/B005HH4MBE/?coliid=I2Y36E6X67JYCP&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it_im,John Mayer,Try! Live In Concert,25.02,25.02,25.02,25.02,25.02,25.02
https://www.amazon.co.uk/dp/B009F1ZYO2/?coliid=IUZCEM00V2UIA&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Kendrick Lamar,- good kid mAAd City Vinyl: Amazon.co.uk: Mus,27.24,27.24,27.24,27.24,,
https://www.amazon.co.uk/dp/B00R20DOUY/?coliid=I3G74IUDGKI8BZ&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,D'Angelo,Black Messiah,23.91,23.91,23.91,23.94,23.91,23.91
https://www.amazon.co.uk/dp/B081KRDTPB/?coliid=I3BIV6FK31JQL4&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Rapsody,Eve,,,,,,
https://www.amazon.co.uk/dp/B00A8OQBD8/?coliid=IPJ5NA79ESTHH&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Foals,Holy Fire,14.68,14.68,14.68,14.68,14.68,14.68
https://www.amazon.co.uk/dp/B00ZG493NU/?coliid=I3NRY6J57PBOD2&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Foals,What Went Down,17.99,17.99,17.99,17.99,19.99,19.99
https://www.amazon.co.uk/dp/B01LYK0JKA/?coliid=I3VYSR80HC8D4Z&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,NxWorries,Yes Lawd!,,,,,,
https://www.amazon.co.uk/dp/B00KIP60VU/?coliid=I3E1FU6ZCC4539&colid=27SH8O3UIJIR&psc=1&ref_=lv_ov_lig_dp_it,Anderson .Paak,Venice (180g Vinyl),22.81,22.81,22.81,22.81,22.81,22.81
