Artist Name,Record Title,Best Price,Average Price,Current Price
Anderson .Paak,Oxnard,33.89,37.17,43.74
Anderson .Paak,Venice (180g Vinyl),22.81,22.81,22.81
Arctic Monkeys,AM,19.99,20.24,19.99
BANKS,III,,,
Big L,Lifestylez Ov Da Poor & Dangerous,,,
Bombay Bicycle Club,"So Long, See You Tomorrow",15.23,15.71,16.66
Bon Iver,"22, A Million",19.99,19.99,19.99
D'Angelo,Black Messiah,23.91,23.92,23.91
Foals,What Went Down,17.99,18.66,19.99
Foals,Holy Fire,14.68,14.68,14.68
Hozier,Nina Cried Power - EP,14.42,14.43,14.43
JPEGMAFIA,All My Heroes Are Cornballs,38.45,38.45,38.45
John Mayer,Try! Live In Concert,25.02,25.02,25.02
John Mayer,Continuum,24.36,24.36,24.36
Kendrick Lamar,- good kid mAAd City Vinyl: Amazon.co.uk: Mus,27.24,27.24,
Lupe Fiasco,Drogas Wave,22.95,22.95,22.95
Miles Davis,Kind Of Blue,15.99,15.99,15.99
Nothing but Thieves,Nothing But Thieves,18.75,22.18,23.86
Notorious B.I.G.,Life After Death (2014 Remaster),27.34,31.06,27.34
NxWorries,Yes Lawd!,,,
Outkast,Atliens,32.66,32.66,32.66
Pixies,Surfer Rosa,17.99,17.99,17.99
Pusha T,DAYTONA,20.19,20.19,20.19
Pusha T,King Push,35.12,35.12,35.12
Rapsody,Eve,,,
Royal Blood,Self Titled,,,
Sam Fender,Hypersonic Missiles,,,
Stevie Wonder,Songs In The Key Of Life,34.82,34.82,34.82
The Black Keys,“Let’s Rock”,17.74,18.31,18.88
The Internet,Ego Death,32.74,32.8,32.74
The Weeknd,After Hours,24.99,24.99,24.99
Tom Misch,Beat Tape 1,18.99,20.16,20.74
Yves Tumor,Heaven To A Tortured Mind,24.99,24.99,24.99
